# CSV Comma Separated; Lists Semicolon Separated; Ranges Colon Separated Both Inclusive
# Ground Truth Loop Closure File. Does not include anchor as positive
# Processed from groundtruth_StLucia.mat
# Manually updated and verified
# 
img,index,loops
000000.jpg,0,
000001.jpg,1,
000002.jpg,2,
000003.jpg,3,
000004.jpg,4,
000005.jpg,5,
000006.jpg,6,
000007.jpg,7,
000008.jpg,8,
000009.jpg,9,
000010.jpg,10,
000011.jpg,11,
000012.jpg,12,
000013.jpg,13,
000014.jpg,14,
000015.jpg,15,
000016.jpg,16,
000017.jpg,17,
000018.jpg,18,
000019.jpg,19,
000020.jpg,20,
000021.jpg,21,
000022.jpg,22,
000023.jpg,23,
000024.jpg,24,
000025.jpg,25,
000026.jpg,26,
000027.jpg,27,
000028.jpg,28,
000029.jpg,29,
000030.jpg,30,
000031.jpg,31,
000032.jpg,32,
000033.jpg,33,
000034.jpg,34,
000035.jpg,35,
000036.jpg,36,
000037.jpg,37,
000038.jpg,38,
000039.jpg,39,
000040.jpg,40,
000041.jpg,41,
000042.jpg,42,
000043.jpg,43,
000044.jpg,44,
000045.jpg,45,
000046.jpg,46,
000047.jpg,47,
000048.jpg,48,
000049.jpg,49,
000050.jpg,50,
000051.jpg,51,
000052.jpg,52,
000053.jpg,53,
000054.jpg,54,
000055.jpg,55,
000056.jpg,56,
000057.jpg,57,
000058.jpg,58,
000059.jpg,59,
000060.jpg,60,
000061.jpg,61,
000062.jpg,62,
000063.jpg,63,
000064.jpg,64,
000065.jpg,65,
000066.jpg,66,
000067.jpg,67,
000068.jpg,68,
000069.jpg,69,
000070.jpg,70,
000071.jpg,71,
000072.jpg,72,
000073.jpg,73,
000074.jpg,74,
000075.jpg,75,
000076.jpg,76,
000077.jpg,77,
000078.jpg,78,
000079.jpg,79,
000080.jpg,80,
000081.jpg,81,
000082.jpg,82,
000083.jpg,83,
000084.jpg,84,
000085.jpg,85,
000086.jpg,86,
000087.jpg,87,
000088.jpg,88,
000089.jpg,89,
000090.jpg,90,
000091.jpg,91,
000092.jpg,92,
000093.jpg,93,
000094.jpg,94,
000095.jpg,95,
000096.jpg,96,
000097.jpg,97,
000098.jpg,98,
000099.jpg,99,
000100.jpg,100,
000101.jpg,101,
000102.jpg,102,
000103.jpg,103,
000104.jpg,104,
000105.jpg,105,
000106.jpg,106,
000107.jpg,107,
000108.jpg,108,
000109.jpg,109,
000110.jpg,110,
000111.jpg,111,
000112.jpg,112,
000113.jpg,113,
000114.jpg,114,
000115.jpg,115,
000116.jpg,116,
000117.jpg,117,
000118.jpg,118,
000119.jpg,119,
000120.jpg,120,
000121.jpg,121,
000122.jpg,122,
000123.jpg,123,
000124.jpg,124,
000125.jpg,125,
000126.jpg,126,
000127.jpg,127,
000128.jpg,128,
000129.jpg,129,
000130.jpg,130,
000131.jpg,131,
000132.jpg,132,
000133.jpg,133,
000134.jpg,134,
000135.jpg,135,
000136.jpg,136,
000137.jpg,137,
000138.jpg,138,
000139.jpg,139,
000140.jpg,140,
000141.jpg,141,
000142.jpg,142,
000143.jpg,143,
000144.jpg,144,
000145.jpg,145,
000146.jpg,146,
000147.jpg,147,
000148.jpg,148,
000149.jpg,149,
000150.jpg,150,
000151.jpg,151,
000152.jpg,152,
000153.jpg,153,
000154.jpg,154,
000155.jpg,155,
000156.jpg,156,
000157.jpg,157,
000158.jpg,158,
000159.jpg,159,
000160.jpg,160,
000161.jpg,161,
000162.jpg,162,
000163.jpg,163,
000164.jpg,164,
000165.jpg,165,
000166.jpg,166,
000167.jpg,167,
000168.jpg,168,
000169.jpg,169,
000170.jpg,170,
000171.jpg,171,
000172.jpg,172,
000173.jpg,173,
000174.jpg,174,
000175.jpg,175,
000176.jpg,176,
000177.jpg,177,
000178.jpg,178,
000179.jpg,179,
000180.jpg,180,
000181.jpg,181,
000182.jpg,182,
000183.jpg,183,
000184.jpg,184,
000185.jpg,185,
000186.jpg,186,
000187.jpg,187,
000188.jpg,188,
000189.jpg,189,
000190.jpg,190,
000191.jpg,191,
000192.jpg,192,
000193.jpg,193,
000194.jpg,194,
000195.jpg,195,
000196.jpg,196,
000197.jpg,197,
000198.jpg,198,
000199.jpg,199,
000200.jpg,200,
000201.jpg,201,
000202.jpg,202,
000203.jpg,203,
000204.jpg,204,
000205.jpg,205,
000206.jpg,206,
000207.jpg,207,
000208.jpg,208,
000209.jpg,209,
000210.jpg,210,
000211.jpg,211,
000212.jpg,212,
000213.jpg,213,
000214.jpg,214,
000215.jpg,215,
000216.jpg,216,
000217.jpg,217,
000218.jpg,218,
000219.jpg,219,
000220.jpg,220,
000221.jpg,221,
000222.jpg,222,
000223.jpg,223,
000224.jpg,224,
000225.jpg,225,
000226.jpg,226,
000227.jpg,227,
000228.jpg,228,
000229.jpg,229,
000230.jpg,230,
000231.jpg,231,
000232.jpg,232,
000233.jpg,233,
000234.jpg,234,
000235.jpg,235,
000236.jpg,236,
000237.jpg,237,
000238.jpg,238,
000239.jpg,239,
000240.jpg,240,
000241.jpg,241,
000242.jpg,242,
000243.jpg,243,
000244.jpg,244,
000245.jpg,245,
000246.jpg,246,
000247.jpg,247,
000248.jpg,248,
000249.jpg,249,
000250.jpg,250,
000251.jpg,251,
000252.jpg,252,
000253.jpg,253,
000254.jpg,254,
000255.jpg,255,
000256.jpg,256,
000257.jpg,257,
000258.jpg,258,
000259.jpg,259,
000260.jpg,260,
000261.jpg,261,
000262.jpg,262,
000263.jpg,263,
000264.jpg,264,
000265.jpg,265,
000266.jpg,266,
000267.jpg,267,
000268.jpg,268,
000269.jpg,269,
000270.jpg,270,
000271.jpg,271,
000272.jpg,272,
000273.jpg,273,
000274.jpg,274,
000275.jpg,275,
000276.jpg,276,
000277.jpg,277,
000278.jpg,278,
000279.jpg,279,
000280.jpg,280,
000281.jpg,281,
000282.jpg,282,
000283.jpg,283,
000284.jpg,284,
000285.jpg,285,
000286.jpg,286,
000287.jpg,287,
000288.jpg,288,
000289.jpg,289,
000290.jpg,290,
000291.jpg,291,
000292.jpg,292,
000293.jpg,293,
000294.jpg,294,
000295.jpg,295,
000296.jpg,296,
000297.jpg,297,
000298.jpg,298,
000299.jpg,299,
000300.jpg,300,
000301.jpg,301,
000302.jpg,302,
000303.jpg,303,
000304.jpg,304,
000305.jpg,305,
000306.jpg,306,
000307.jpg,307,
000308.jpg,308,
000309.jpg,309,
000310.jpg,310,
000311.jpg,311,
000312.jpg,312,
000313.jpg,313,
000314.jpg,314,
000315.jpg,315,
000316.jpg,316,
000317.jpg,317,
000318.jpg,318,
000319.jpg,319,
000320.jpg,320,
000321.jpg,321,
